Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score
12347.0,2,7,4060.4,4,4,4,444,12
12348.0,75,4,1195.08,2,3,3,233,8
12349.0,19,1,1757.55,3,1,4,314,8
12350.0,310,1,334.4,1,1,2,112,4
12352.0,36,8,2506.04,3,4,4,344,11
12353.0,204,1,89.0,1,1,1,111,3
12354.0,232,1,1079.4,1,1,3,113,5
12355.0,214,1,459.4,1,1,2,112,4
12356.0,23,3,2710.63,3,3,4,334,10
12357.0,33,1,6207.67,3,1,4,314,8
12358.0,2,2,1168.06,4,2,3,423,9
12359.0,58,4,6310.03,2,3,4,234,9
12360.0,52,3,2662.06,2,3,4,234,9
12361.0,287,1,189.9,1,1,1,111,3
12362.0,3,10,5226.23,4,4,4,444,12
12363.0,110,2,552.0,2,2,2,222,6
12364.0,8,4,1248.3,4,3,3,433,10
12365.0,291,2,641.38,1,2,2,122,5
12367.0,4,1,168.9,4,1,1,411,6
12370.0,51,4,3420.98,3,3,4,334,10
12371.0,45,2,1887.96,3,2,4,324,9
12372.0,72,3,1298.04,2,3,3,233,8
12373.0,311,1,364.6,1,1,2,112,4
12374.0,25,1,742.9300000000001,3,1,3,313,7
12375.0,11,2,457.5,4,2,2,422,8
12377.0,315,2,1628.12,1,2,4,124,7
12378.0,130,1,3948.14,2,1,4,214,7
12379.0,82,2,852.24,2,2,3,223,7
12380.0,22,4,2724.81,3,3,4,334,10
12381.0,5,5,1845.31,4,3,4,434,11
12383.0,185,5,1798.72,1,3,4,134,8
12384.0,29,2,585.27,3,2,2,322,7
12386.0,338,2,358.7,1,2,2,122,5
12388.0,16,6,2780.66,4,4,4,444,12
12390.0,80,1,549.84,2,1,2,212,5
12391.0,22,1,439.66,3,1,2,312,6
12393.0,72,4,1582.6000000000001,2,3,3,233,8
12394.0,64,2,821.92,2,2,3,223,7
12395.0,19,12,2867.43,3,4,4,344,11
12397.0,36,2,2409.9,3,2,4,324,9
12398.0,46,1,1635.6599999999999,3,1,4,314,8
12399.0,119,4,1108.65,2,3,3,233,8
12401.0,303,1,84.3,1,1,1,111,3
12402.0,323,1,225.6,1,1,1,111,3
12403.0,50,1,427.7,3,1,2,312,6
12405.0,149,1,1710.39,1,1,4,114,6
12406.0,22,2,3415.3,3,2,4,324,9
12407.0,50,5,1621.08,3,3,4,334,10
12408.0,33,5,2888.55,3,3,4,334,10
12409.0,79,3,10649.07,2,3,4,234,9
12410.0,309,2,693.3299999999999,1,2,3,123,6
12412.0,75,3,1226.88,2,3,3,233,8
12413.0,67,3,758.1,2,3,3,233,8
12414.0,217,3,562.41,1,3,2,132,6
12415.0,25,16,60801.17,3,4,4,344,11
12417.0,3,9,3649.1,4,4,4,444,12
12418.0,113,1,668.58,2,1,3,213,6
12420.0,64,1,600.39,2,1,2,212,5
12421.0,16,4,807.04,4,3,3,433,10
12422.0,96,3,803.5600000000001,2,3,3,233,8
12423.0,1,8,1859.31,4,4,4,444,12
12424.0,163,2,1608.3200000000002,1,2,4,124,7
12425.0,78,1,777.2,2,1,3,213,6
12426.0,195,1,582.73,1,1,2,112,4
12427.0,22,3,765.32,3,3,3,333,9
12428.0,26,9,7956.46,3,4,4,344,11
12429.0,9,4,3700.0,4,3,4,434,11
12430.0,43,1,256.4,3,1,1,311,5
